i,い
itsuku,いつく
ini,いに
iru,いる
u,う
ui,うい
e,え
eru,える
oshii,おしい
ka,か
kai,かい
kau,かう
kashii,かしい
kashimu,かしむ
kasu,かす
katsu,かつ
kabu,かぶ
kaberu,かべる
kameru,かめる
kari,かり
karu,かる
kareru,かれる
kawashii,かわしい
gasu,がす
garu,がる
gareru,がれる
kii,きい
kiru,きる
giru,ぎる
ku,く
kusu,くす
kuru,くる
gu,ぐ
ke,け
keru,ける
geru,げる
kou,こう
koeru,こえる
kosu,こす
koru,こる
gosu,ごす
sai,さい
saeru,さえる
saburu,さぶる
saru,さる
zasu,ざす
zaru,ざる
shi,し
shii,しい
shikuha,しくは
shimi,しみ
shimu,しむ
shimeru,しめる
ji,じ
jirau,じらう
jiru,じる
su,す
suburu,すぶる
suru,する
zu,ず
zukashii,ずかしい
se,せ
seru,せる
zeru,ぜる
ta,た
tai,たい
tasu,たす
tadashii,ただしい
taru,たる
da,だ
dashii,だしい
chi,ち
chini,ちに
chiru,ちる
tsu,つ
te,て
teru,てる
deru,でる
tosu,とす
nai,ない
nau,なう
naru,なる
ni,に
nu,ぬ
neru,ねる
nosu,のす
ba,ば
basu,ばす
baseru,ばせる
bi,び
biseru,びせる
bini,びに
biru,びる
bu,ぶ
bumu,ぶむ
beru,べる
bosu,ぼす
mau,まう
maeru,まえる
mashii,ましい
masu,ます
maru,まる
mareru,まれる
mawashii,まわしい
mi,み
miru,みる
mu,む
me,め
meshii,めしい
mete,めて
meru,める
mo,も
moshii,もしい
moru,もる
moreru,もれる
ya,や
yaka,やか
yakasu,やかす
yashi,やし
yasu,やす
yamu,やむ
ra,ら
rau,らう
raeru,らえる
raka,らか
rakai,らかい
rakasu,らかす
rakaru,らかる
ragu,らぐ
rageru,らげる
rashii,らしい
rashimeru,らしめる
rasu,らす
ramu,らむ
rameru,らめる
rawashii,らわしい
rawasu,らわす
rawareru,らわれる
ri,り
riru,りる
ru,る
rui,るい
ruu,るう
rugu,るぐ
rumu,るむ
re,れ
remu,れむ
reru,れる
ro,ろ
roshii,ろしい
rosu,ろす
wau,わう
waeru,わえる
wasu,わす
waseru,わせる
waru,わる
n,ん
